gene,rho,n_coess,coess_p,hit_freq_all
Slc19a3,-0.7764,29,7.421e-07,0.01
2810004N23Rik,0.7713,30,6.077e-07,0.2717
Exosc8,0.7553,30,1.407e-06,0.3143
Aga,-0.7517,29,2.592e-06,0.0297
Mettl16,0.7383,31,2.126e-06,0.3441
Mtg2,0.7317,30,4.341e-06,0.3736
Mtor,0.7306,31,3.058e-06,0.3264
Gcsam,-0.73,29,6.962e-06,0.0081
Pabpc1,0.7241,30,6.082e-06,0.3298
D16Ertd472e,-0.7222,29,9.746e-06,0.0568
Dck,0.717,30,8.272e-06,0.0566
Gm14393,0.7166,30,8.430e-06,0.186
Olfr1323,-0.7153,29,1.296e-05,0.0
Twistnb,0.7103,30,1.095e-05,0.3587
Chd4,0.7093,31,7.935e-06,0.2432
Mrpl4,0.6997,30,1.687e-05,0.25
Znhit6,0.698,29,2.556e-05,0.2903
Med12,0.6962,31,1.363e-05,0.4124
Eif2b2,0.6961,30,1.941e-05,0.4066
Acat1,-0.6951,29,2.858e-05,0.0192
Gm10408,0.6948,30,2.044e-05,0.3095
Nphp4,-0.6926,29,3.134e-05,0.0114
Pitx1,-0.6921,30,2.267e-05,0.0333
Wdr92,0.6868,30,2.777e-05,0.2527
Aasdhppt,0.6863,30,2.824e-05,0.2941
Trmt6,0.6857,29,4.036e-05,0.3696
Polr2k,0.6857,29,4.036e-05,0.1692
Olfr1443,-0.6836,30,3.121e-05,0.0122
Gm5795,0.6805,30,3.502e-05,0.3333
Pdpn,-0.6805,30,3.502e-05,0.0192
Pfdn2,0.675,31,3.110e-05,0.3011
Pisd,0.6743,30,4.392e-05,0.2358
Kri1,0.6694,30,5.228e-05,0.3059
Nmnat2,-0.6667,30,5.742e-05,0.0
Pkp4,0.6665,29,7.896e-05,0.0562
Rtcb,0.6654,30,6.015e-05,0.337
Gm13275,0.6636,30,6.397e-05,0.1304
Olfr328,0.6635,29,8.718e-05,0.012
Mpv17l,-0.6635,29,8.718e-05,0.0449
Hist1h2ab,0.6625,31,4.902e-05,0.1912
Psma3,0.6623,30,6.698e-05,0.3558
Fyco1,-0.6618,30,6.801e-05,0.0568
Mgat4a,-0.6596,29,9.932e-05,0.02
Ube2d2a,0.6567,29,1.094e-04,0.0306
Slc29a3,-0.6567,29,1.094e-04,0.0392
Nr2f6,-0.6537,29,1.203e-04,0.019
Gemin6,0.6529,30,9.183e-05,0.3118
Pla2g6,-0.6527,29,1.242e-04,0.0396
Sept5,-0.6508,25,4.275e-04,0.0
Bub1b,0.6503,30,1.003e-04,0.2736
Kif27,-0.6502,29,1.344e-04,0.0562
Sdad1,0.6453,27,2.785e-04,0.3523
Adamts3,-0.6453,29,1.569e-04,0.03
Mrps35,0.6445,30,1.211e-04,0.2047
Pate1,-0.6443,29,1.618e-04,0.0
C330027C09Rik,0.6427,30,1.282e-04,0.1915
Trpc3,-0.6399,29,1.855e-04,0.0306
Ctu2,0.6396,30,1.416e-04,0.2766
Lce1e,-0.6394,29,1.883e-04,0.0377
Psmb4,0.6393,28,2.499e-04,0.3689
Huwe1,0.6387,30,1.456e-04,0.2585
Ccdc138,-0.6379,29,1.970e-04,0.0
Haus1,0.6374,29,1.999e-04,0.3371
Arfip1,-0.6374,29,1.999e-04,0.0
Extl3,0.6365,29,2.060e-04,0.049
Vmn1r114,0.6362,26,4.761e-04,0.3095
C1qbp,0.6352,30,1.628e-04,0.1979
Itgb2l,-0.635,29,2.154e-04,0.0119
Susd2,-0.6335,29,2.252e-04,0.0114
Rbm8a,0.6331,31,1.323e-04,0.3443
Fam217a,0.632,29,2.353e-04,0.0114
Eed,0.6303,30,1.894e-04,0.1892
Gsto1,-0.63,29,2.495e-04,0.0291
Ercc6l,0.6296,29,2.531e-04,0.186
Hmgb1,0.629,31,1.504e-04,0.3587
Zfp984,0.629,31,1.504e-04,0.2353
Phb,0.6289,30,1.973e-04,0.3645
Ndrg3,0.6285,30,2.000e-04,0.2273
Gmppb,0.6278,31,1.563e-04,0.3271
Nop56,0.6266,31,1.623e-04,0.3474
Esp31,-0.6261,29,2.801e-04,0.0156
Snrpf,0.6258,31,1.665e-04,0.3474
Apex1,0.6256,29,2.841e-04,0.0845
Timm44,0.6254,30,2.197e-04,0.3204
Dclre1b,0.6249,30,2.227e-04,0.1957
Mbd3,-0.6222,29,3.140e-04,0.0849
Rps2,0.6218,30,2.445e-04,0.4
Hist1h2ae,0.6218,31,1.886e-04,0.2754
Mettl14,0.6214,30,2.477e-04,0.3558
E2f8,-0.6212,29,3.230e-04,0.0543
Wdr3,0.621,31,1.933e-04,0.3368
Trmt10c,0.6192,29,3.417e-04,0.2935
Cct3,0.619,31,2.057e-04,0.381
Vmn2r32,0.6187,29,3.465e-04,0.1395
Chchd2,0.6182,30,2.716e-04,0.16
Serpinf2,0.6177,29,3.564e-04,0.02
Timm50,0.6174,30,2.788e-04,0.3846
Lars2,0.6172,29,3.614e-04,0.3119
Prpf8,0.616,30,2.899e-04,0.3429
Rbmxl1,0.616,30,2.899e-04,0.2135
Obox5,0.6158,29,3.768e-04,0.0741
C1qtnf2,0.6148,29,3.874e-04,0.023
Atp5b,0.6142,30,3.053e-04,0.3611
Bpifa5,-0.6142,30,3.053e-04,0.0341
Mbtd1,0.6138,30,3.093e-04,0.0841
Prelid1,0.6133,31,2.439e-04,0.3871
Mettl26,-0.6133,29,4.037e-04,0.0444
Osgep,0.6129,30,3.174e-04,0.3235
Olfr380,0.6125,31,2.498e-04,0.0769
Yars2,0.6121,31,2.528e-04,0.3774
Crip3,-0.6113,29,4.265e-04,0.0227
Cpz,-0.6113,29,4.265e-04,0.0198
Lims1,0.6108,29,4.324e-04,0.0549
Olfr331,0.6107,30,3.383e-04,0.0656
Etf1,0.6105,31,2.653e-04,0.3956
Uba1,0.6105,31,2.653e-04,0.3558
Olfr229,0.6102,30,3.427e-04,0.0617
Lsm6,0.6102,30,3.427e-04,0.2714
Snrpd1,0.6101,31,2.684e-04,0.3404
Fam184b,-0.6094,29,4.504e-04,0.0227
Rassf9,-0.6084,29,4.628e-04,0.04
Mrpl45,0.6081,31,2.849e-04,0.3333
Gtpbp4,0.608,30,3.651e-04,0.3302
Slc12a1,-0.6079,29,4.691e-04,0.0204
Hist1h3e,0.6076,30,3.698e-04,0.3103
Gm5538,-0.6076,30,3.698e-04,0.0122
Orc4,0.6067,30,3.792e-04,0.3444
Gps2,0.6064,29,4.884e-04,0.1193
Nol6,0.606,31,3.022e-04,0.3617
Trmt112,0.6044,31,3.167e-04,0.3333
Wdr13,-0.6039,29,5.223e-04,0.0213
Nutf2,0.6036,31,3.242e-04,0.381
Tlr13,-0.6034,29,5.293e-04,0.0227
Chrm2,-0.6034,29,5.293e-04,0.01
Romo1,0.6027,30,4.244e-04,0.4111
Gm13178,-0.6025,29,5.435e-04,0.0127
Polr3e,0.6022,30,4.297e-04,0.3333
Dynlt1a,0.602,27,8.942e-04,0.25
Olfr1120,0.6015,29,5.581e-04,0.0123
Mup1,0.6015,29,5.581e-04,0.1304
Farsb,0.6009,30,4.459e-04,0.3365
Ccl19,0.6004,30,4.515e-04,0.12
Wbscr22,0.5984,31,3.769e-04,0.2788
Zfp473,0.5982,30,4.801e-04,0.0319
Esyt3,-0.597,29,6.281e-04,0.0115
Med24,0.5966,29,6.364e-04,0.3516
Scd2,0.5964,31,3.991e-04,0.1579
Csrp2,-0.5951,29,6.617e-04,0.0112
B3galt1,-0.5951,29,6.617e-04,0.0
Dctn6,0.5948,31,4.177e-04,0.3429
Sf3b6,0.5944,31,4.224e-04,0.3222
Mafb,-0.5941,29,6.790e-04,0.0568
Mfsd14b,0.5936,29,6.878e-04,0.0225
Olfr716,0.5936,29,6.878e-04,0.025
Vprbp,0.5923,31,4.470e-04,0.3178
Hist1h2bm,0.5919,31,4.520e-04,0.2833
Mib2,-0.5901,29,7.524e-04,0.0485
Amacr,-0.5892,29,7.718e-04,0.0283
Trit1,0.5892,29,7.718e-04,0.1905
Slc1a6,-0.5887,29,7.817e-04,0.0204
Etnk2,-0.5882,29,7.916e-04,0.1
Timm13,0.5867,30,6.560e-04,0.3396
Taf8,0.5862,29,8.326e-04,0.2617
Psmd6,0.5862,30,6.638e-04,0.2952
Tmprss6,-0.5862,29,8.326e-04,0.0
Paip2b,-0.5862,29,8.326e-04,0.0111
Polr2c,0.5857,29,8.432e-04,0.3137
Sf3b1,0.5855,31,5.400e-04,0.2796
Ly6c2,0.5852,29,8.538e-04,0.0926
Polr3h,0.5849,30,6.876e-04,0.31
Dgat2,-0.5847,29,8.646e-04,0.0196
Rpp21,0.584,30,7.039e-04,0.3738
Hmgcs1,0.5839,31,5.643e-04,0.3143
Dnaaf5,0.5835,30,7.122e-04,0.3077
Atp6v1f,0.5835,31,5.705e-04,0.3069
4930550L24Rik,-0.5833,29,8.976e-04,0.0114
Rims4,-0.5833,29,8.976e-04,0.023
Bhlhe23,-0.5826,30,7.289e-04,0.0
Slc1a5,-0.5823,29,9.203e-04,0.0943
Gm2897,0.5818,30,7.461e-04,0.2647
Exosc5,0.5818,30,7.461e-04,0.25
Ets2,-0.5813,29,9.434e-04,0.0543
Jam2,0.5813,29,9.434e-04,0.0227
Msc,-0.5808,29,9.552e-04,0.0333
Gm5796,0.5806,31,6.156e-04,0.2439
Tuba1b,0.5803,29,9.670e-04,0.3378
Col8a2,0.58,30,7.814e-04,0.0342
H2-T23,-0.5795,30,7.905e-04,0.1075
Utp15,0.5793,29,9.912e-04,0.3864
Gtf2h1,0.5793,29,9.912e-04,0.184
Vmn1r158,0.5791,30,7.996e-04,0.14
Cfap57,-0.5778,29,1.028e-03,0.046
Emb,-0.5778,29,1.028e-03,0.0112
Gm10220,0.5774,31,6.710e-04,0.3778
Csnka2ip,-0.5773,30,8.372e-04,0.0114
Vmn1r149,0.5768,29,1.054e-03,0.125
Olfr1353,-0.5768,29,1.054e-03,0.025
Bpgm,-0.5768,29,1.054e-03,0.02
5430421N21Rik,0.5765,22,4.977e-03,0.0141
Gm10024,0.5764,30,8.565e-04,0.0513
Ppbp,-0.5764,29,1.067e-03,0.0
Camkk1,-0.5764,29,1.067e-03,0.0194
Srsf12,-0.5764,29,1.067e-03,0.0351
Lig3,0.576,30,8.663e-04,0.1857
Zfp992,0.5755,30,8.763e-04,0.2564
Mtfr1,0.5754,29,1.093e-03,0.0568
Imp3,0.5754,31,7.079e-04,0.3647
Pik3c2g,-0.5749,29,1.106e-03,0.0
Psmg2,0.5746,31,7.231e-04,0.2667
9530077C05Rik,-0.5744,29,1.120e-03,0.0
Cryba1,0.5742,30,9.066e-04,0.0674
Snrpd3,0.5742,30,9.066e-04,0.3804
Ralgps1,-0.5739,29,1.134e-03,0.0225
Stx8,0.5734,29,1.147e-03,0.0455
Tomm20,0.5734,31,7.465e-04,0.1951
Gm5458,0.5726,31,7.624e-04,0.2683
3830417A13Rik,-0.5719,29,1.190e-03,0.0337
Plxna1,-0.5719,29,1.190e-03,0.0385
Lamtor2,0.5715,30,9.701e-04,0.3696
Sae1,0.5714,31,7.869e-04,0.3235
Pak1ip1,0.5714,31,7.869e-04,0.3535
Mmp12,-0.5714,29,1.204e-03,0.0
Rint1,0.5709,29,1.219e-03,0.2386
Galnt15,-0.5704,29,1.233e-03,0.0659
Mettl11b,-0.5704,29,1.233e-03,0.022
Fam25c,0.5702,30,1.003e-03,0.0341
Rnd1,-0.5702,30,1.003e-03,0.0096
Pim3,0.57,29,1.248e-03,0.0288
Nufip1,0.5698,31,8.206e-04,0.2418
Xkr5,-0.5695,29,1.263e-03,0.0233
Ptx3,-0.5695,29,1.263e-03,0.0115
Bmp2,-0.5695,29,1.263e-03,0.022
Iqsec2,-0.569,29,1.278e-03,0.0114
Gm14124,-0.569,29,1.278e-03,0.0
Soat2,0.5685,29,1.294e-03,0.0769
Mlxipl,-0.568,29,1.309e-03,0.087
Vti1b,-0.5675,29,1.325e-03,0.0192
1110037F02Rik,0.5666,30,1.097e-03,0.3152
Mrps18c,0.5662,30,1.109e-03,0.2198
Gm5885,-0.566,29,1.372e-03,0.0732
Gm6460,0.5653,30,1.133e-03,0.2553
Il1f9,-0.565,29,1.405e-03,0.0114
Lime1,-0.5644,30,1.159e-03,0.0222
Cd40,-0.564,29,1.439e-03,0.0072
Fuca1,-0.564,29,1.439e-03,0.0291
Meaf6,0.5633,31,9.685e-04,0.2292
Rsl24d1,0.5631,30,1.197e-03,0.3069
Esco2,0.5626,30,1.211e-03,0.3409
Hspb3,-0.5626,29,1.490e-03,0.0
Polr1e,0.5621,31,9.987e-04,0.3178
Phb2,0.5616,29,1.525e-03,0.4149
Vmn1r171,0.5613,31,1.019e-03,0.0625
Cebpz,0.5613,30,1.251e-03,0.3297
Slc25a37,0.5611,29,1.543e-03,0.1386
Epc1,0.5611,29,1.543e-03,0.0476
Lpin3,-0.5608,30,1.264e-03,0.0192
Vmn2r38,0.56,30,1.292e-03,0.2128
Arhgef39,-0.5596,29,1.598e-03,0.043
Zfp524,-0.5591,29,1.616e-03,0.0114
Lmod1,-0.5586,29,1.635e-03,0.0575
Olfr1313,-0.5581,29,1.654e-03,0.0253
Ankrd34a,-0.5581,29,1.654e-03,0.0455
Crcp,0.5576,29,1.673e-03,0.3333
Phox2b,-0.5573,30,1.379e-03,0.0225
Zfp85,0.5573,30,1.379e-03,0.0877
Atad3a,0.5571,29,1.692e-03,0.3667
St14,-0.5567,29,1.712e-03,0.0
Ddx55,0.5564,30,1.408e-03,0.3028
Dynlt1f,0.556,30,1.424e-03,0.2292
Ssb,0.556,30,1.424e-03,0.1667
Gak,0.5555,30,1.439e-03,0.1944
Acpt,0.5552,29,1.772e-03,0.0612
Dhx8,0.5552,31,1.186e-03,0.287
Oaf,-0.5552,29,1.772e-03,0.0112
Nek8,0.5552,29,1.772e-03,0.0097
Bysl,0.5551,30,1.454e-03,0.3587
Ctgf,-0.5551,30,1.454e-03,0.03
Lsm5,0.5548,31,1.198e-03,0.3563
Trap1a,-0.5547,29,1.792e-03,0.0115
Gm8693,0.5542,29,1.813e-03,0.2571
Ufsp2,0.5542,30,1.486e-03,0.1471
Rps19,0.5542,30,1.486e-03,0.3368
Selenoo,-0.5537,29,1.833e-03,0.0449
Efhc2,-0.5537,29,1.833e-03,0.0
Apbb1ip,-0.5537,29,1.833e-03,0.0787
Rrp1,0.5536,31,1.234e-03,0.3789
Rpl11,0.5533,30,1.517e-03,0.3
Psmg4,0.5532,31,1.246e-03,0.3523
Espnl,-0.5532,29,1.854e-03,0.0225
Cenpm,0.5528,31,1.259e-03,0.4255
Ppa1,0.5524,30,1.550e-03,0.3495
Cdc34,-0.5524,30,1.550e-03,0.0192
Pcdha1,-0.5523,25,4.200e-03,0.0227
Tcf12,-0.5517,29,1.918e-03,0.055
Colgalt2,-0.5517,29,1.918e-03,0.0
Hspa14,0.5511,30,1.600e-03,0.2347
Mrrf,0.5507,29,1.962e-03,0.1538
Gm10406,0.5506,30,1.617e-03,0.25
Cds2,0.5504,31,1.336e-03,0.3056
Snrpa1,0.5502,30,1.634e-03,0.3404
Gm765,0.5498,29,2.007e-03,0.0506
Nsl1,0.5496,31,1.362e-03,0.2935
Ctsb,-0.5488,30,1.686e-03,0.0396
Prpf38a,0.5484,31,1.403e-03,0.3333
Lrrd1,-0.5473,29,2.122e-03,0.0114
Dars2,0.5471,30,1.758e-03,0.2991
Nav3,-0.5471,30,1.758e-03,0.0568
0610010B08Rik,0.5469,25,4.667e-03,0.119
Dtd1,0.5468,29,2.146e-03,0.0198
Psma6,0.5468,29,2.146e-03,0.3366
Prpf4b,0.5464,31,1.473e-03,0.1495
Wdr73,0.5462,30,1.795e-03,0.3529
Rdh12,-0.5458,29,2.194e-03,0.019
Rps13,0.5452,28,2.700e-03,0.3953
Rabggtb,0.5446,28,2.732e-03,0.303
Zfp687,0.5443,29,2.268e-03,0.0909
Eef1e1,0.5439,30,1.890e-03,0.2188
Thg1l,0.5435,30,1.910e-03,0.299
Chchd6,0.5433,29,2.318e-03,0.0112
Gfral,-0.5433,29,2.318e-03,0.0227
Wdr36,0.5431,31,1.592e-03,0.3333
Ceacam2,0.5429,29,2.344e-03,0.0196
Trmt2b,-0.5424,29,2.370e-03,0.0099
Snu13,0.5423,31,1.623e-03,0.3827
Mrps33,0.5422,30,1.969e-03,0.1935
Olfr1176,0.5422,30,1.969e-03,0.0247
Vmn2r102,0.5417,30,1.990e-03,0.1509
Lbx2,-0.5417,30,1.990e-03,0.0337
Vmn1r126,0.5415,27,3.532e-03,0.2703
Cops5,0.5408,30,2.031e-03,0.2642
Copb2,0.5399,29,2.503e-03,0.3
Rasl2-9,0.5399,31,1.719e-03,0.086
Pax7,-0.5399,29,2.503e-03,0.0
Dgkb,-0.5399,30,2.072e-03,0.02
4932443I19Rik,0.5395,30,2.094e-03,0.0227
Pigr,-0.5394,29,2.530e-03,0.0381
Oxct1,-0.5394,29,2.530e-03,0.0377
Gm12794,-0.5389,29,2.558e-03,0.0125
Crnkl1,0.5386,30,2.137e-03,0.3587
Olfr651,-0.5386,30,2.137e-03,0.037
Prrg4,0.5379,29,2.614e-03,0.0449
Serhl,-0.5379,29,2.614e-03,0.0495
Tmem199,0.5374,29,2.643e-03,0.2609
Fancg,0.5374,29,2.643e-03,0.3016
Tsga10,-0.5374,29,2.643e-03,0.0225
Vmn1r128,0.5373,30,2.202e-03,0.2
Tor4a,-0.5373,30,2.202e-03,0.044
Rps29,0.5371,26,4.666e-03,0.4675
Serf2,0.5365,29,2.700e-03,0.069
Cdk9,0.5365,29,2.700e-03,0.2568
Ptgr2,-0.5365,29,2.700e-03,0.0194
Csnk2b,0.5364,30,2.247e-03,0.3429
Gm14440,0.5364,28,3.256e-03,0.2571
Prlh,-0.5364,30,2.247e-03,0.0217
Tfap2b,-0.536,29,2.729e-03,0.0114
Prdx1,0.5359,28,3.294e-03,0.125
Sec13,0.5359,31,1.889e-03,0.3208
Cwc15,0.5359,31,1.889e-03,0.2637
Actl6a,0.5355,30,2.293e-03,0.2917
Dcpp1,-0.5355,29,2.759e-03,0.0112
Dnaja3,0.535,30,2.316e-03,0.2903
Grpel2,0.535,29,2.789e-03,0.0444
Hspb1,0.535,29,2.789e-03,0.0408
Cops9,-0.535,29,2.789e-03,0.0824
Sec11c,-0.535,29,2.789e-03,0.0225
Rad9a,0.5346,30,2.339e-03,0.3066
Rtp3,-0.5346,30,2.339e-03,0.037
Wnk4,0.5345,29,2.819e-03,0.0291
Syne2,-0.5345,29,2.819e-03,0.0562
Olfr918,-0.5345,29,2.819e-03,0.025
Ngdn,0.5341,30,2.363e-03,0.3118
Otud6a,-0.534,29,2.849e-03,0.0306
Fignl1,0.5339,31,1.980e-03,0.1931
Amy2a4,0.5337,30,2.387e-03,0.0862
Kars,0.5331,31,2.018e-03,0.3241
Mms19,0.5331,31,2.018e-03,0.2576
Ftcd,0.533,29,2.911e-03,0.0098
Mllt1,0.533,29,2.911e-03,0.1376
Ddx27,0.5327,31,2.036e-03,0.2523
Spata17,-0.5325,29,2.942e-03,0.0
Myl3,-0.5325,29,2.942e-03,0.0115
Lect2,-0.532,29,2.973e-03,0.0112
Sp5,-0.532,29,2.973e-03,0.0222
Smarca5,0.5315,31,2.094e-03,0.2897
Inpp5k,0.531,31,2.114e-03,0.2264
Cxxc5,0.531,29,3.037e-03,0.0341
Ttc4,0.531,30,2.533e-03,0.3034
Rpl37a,0.5309,28,3.651e-03,0.4857
Foxh1,-0.5306,30,2.559e-03,0.0549
Srrm3,0.5305,29,3.069e-03,0.0568
Snip1,0.5302,31,2.153e-03,0.3226
Cdk5rap3,0.53,29,3.102e-03,0.1758
Ss18,-0.53,29,3.102e-03,0.1196
Tuba1c,0.53,29,3.102e-03,0.2917
Glt8d2,-0.53,29,3.102e-03,0.0099
Igsf11,0.5297,30,2.610e-03,0.0217
Map4k3,-0.5296,29,3.135e-03,0.075
Gpn1,0.5296,29,3.135e-03,0.3187
Ppia,0.5293,30,2.635e-03,0.1275
Gpr62,-0.5293,30,2.635e-03,0.0198
Zscan12,-0.5291,29,3.168e-03,0.0114
Tbcb,0.529,31,2.214e-03,0.3368
Lad1,0.5288,30,2.662e-03,0.0556
Ncoa4,0.5288,30,2.662e-03,0.0748
Tat,-0.5286,29,3.202e-03,0.0297
Tpo,-0.5286,29,3.202e-03,0.0404
Bcl2l2,-0.5284,30,2.688e-03,0.0
Tomm22,0.5282,31,2.255e-03,0.2885
Sf3a1,0.5281,29,3.235e-03,0.3238
Prpf40b,0.5281,29,3.235e-03,0.0333
Hpse,-0.5281,29,3.235e-03,0.0297
Mfap3,0.5279,30,2.714e-03,0.0225
Nop16,0.5278,31,2.276e-03,0.3579
Gata1,-0.5276,29,3.270e-03,0.0222
Csde1,-0.5276,29,3.270e-03,0.1157
Lepr,0.5271,29,3.304e-03,0.01
Map4k5,-0.5271,29,3.304e-03,0.0488
Gpld1,0.5266,29,3.339e-03,0.0098
Cct5,0.5262,31,2.361e-03,0.3889
Gm3488,0.5261,29,3.374e-03,0.2941
Bmp15,-0.526,28,4.041e-03,0.0349
Bub1,0.5258,31,2.382e-03,0.1698
Ubtf,0.5257,30,2.850e-03,0.4111
Carnmt1,-0.5257,30,2.850e-03,0.1897
Ocstamp,-0.5256,29,3.409e-03,0.0337
Anxa10,-0.5256,29,3.409e-03,0.0297
Asb5,-0.5256,29,3.409e-03,0.0588
Cwc22,0.5254,31,2.404e-03,0.2
Teddm1a,0.5251,29,3.445e-03,0.0345
Hmg20b,-0.5251,29,3.445e-03,0.037
Fam136a,0.5248,30,2.906e-03,0.0889
Lamtor3,0.5246,29,3.481e-03,0.2174
Ggps1,0.5244,30,2.935e-03,0.4
Kcnn4,-0.5244,30,2.935e-03,0.0093
Fam32a,0.5242,31,2.471e-03,0.2967
Exosc10,0.5242,31,2.471e-03,0.2029
Pik3c2a,0.5241,29,3.517e-03,0.07
Ptgfrn,-0.5236,29,3.554e-03,0.0444
Prmt5,0.5234,31,2.516e-03,0.3273
Qsox2,0.5232,29,3.591e-03,0.0194
Vmn1r199,-0.5232,29,3.591e-03,0.012
Rcsd1,-0.5232,29,3.591e-03,0.0225
F8,-0.5232,29,3.591e-03,0.0294
Dhfr,0.5227,29,3.628e-03,0.3429
Coq4,0.5227,29,3.628e-03,0.2366
Gpr39,-0.5222,29,3.666e-03,0.0198
Srpk3,-0.5222,29,3.666e-03,0.0194
Marf1,-0.5222,29,3.666e-03,0.0282
Crisp2,-0.5217,29,3.704e-03,0.0115
Stab1,-0.5217,29,3.704e-03,0.0
Vmn2r44,0.5214,31,2.632e-03,0.2128
Rbbp5,0.5212,29,3.742e-03,0.2381
Gipc1,-0.5212,30,3.140e-03,0.0583
Stk16,-0.5212,30,3.140e-03,0.019
Tcf19,-0.5202,29,3.820e-03,0.0286
Dynlt1c,0.5199,30,3.232e-03,0.1667
Ccdc96,-0.5197,29,3.859e-03,0.0337
Ipo7,0.5195,30,3.263e-03,0.2797
Taf4,0.5195,30,3.263e-03,0.1915
Rps15a,0.5192,29,3.899e-03,0.4286
Adat1,-0.5192,29,3.899e-03,0.02
Oplah,-0.5192,29,3.899e-03,0.0392
Ifi27,-0.5192,29,3.899e-03,0.022
Zbtb8os,0.519,30,3.294e-03,0.3736
